Type,Parent,SKU,Name,Regular price,Published,Tax status,In stock?,Stock,Visibility in catalog,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Categories,Description,Allow customer reviews
variable,,SNK-1,Adidas Forum High,120,1,taxable,,,visible,pa_genre,Homme,1,1,,pa_taille,39|40|40.5|41|42|42.5|43|44|44.5|45|46|47,1,1,,pa_couleur,Blanc|Crème|Noir,1,1,,pa_marque,Adidas,1,1,,Sport,"Inspirée d'un héritage sportif classique, cette paire revisite les codes iconiques.
La rencontre de la matière et du style
Confectionnée en daim et mesh technique, elle offre souplesse et maintien.

Ultra-confort
Amorti renforcé par une mousse technique pour une sensation de douceur à chaque pas.

Adhérence antidérapante
Dessus caoutchouté avec motifs adhérents pour une accroche sûre au quotidien.

Détails du produit
- Fermeture à lacets classique
- Logo de la marque sur la languette
- Doublure textile respirante",1
variable,,SNK-2,Adidas Ultraboost,160,1,taxable,,,visible,pa_genre,Femme|Enfant,1,1,,pa_taille,36|37|38|39|40|40.5|41|42|27|28|29|30|31|32|33|34|35,1,1,,pa_couleur,Blanc|Crème|Noir,1,1,,pa_marque,Adidas,1,1,,"Streetwear, Training","S'inspirant des silhouettes rétro, cette sneaker mélange tradition et modernité.
La rencontre de la matière et du style
Tige en cuir synthétique et textile respirant, pensée pour un confort quotidien.

Ultra-confort
Conçue pour le confort, la semelle intermédiaire absorbe les chocs tout en restant dynamique.

Adhérence antidérapante
Semelle TPU et caoutchouc pour une excellente durabilité et tenue.

Détails du produit
- Bride de maintien à la cheville
- Swoosh/logotype latéral moulé
- Patch logo au talon",1
variable,,SNK-3,New Balance 550,130,1,taxable,,,visible,pa_genre,Enfant,1,1,,pa_taille,27|28|29|30|31|32|33|34|35|36|37|38|39,1,1,,pa_couleur,Blanc|Crème|Noir,1,1,,pa_marque,New Balance,1,1,,"Sport, Training, Running","Évocatrice des modèles emblématiques, elle propose une interprétation contemporaine.
La rencontre de la matière et du style
Assemblage de cuir véritable et empiècements en mesh pour une respirabilité optimale.

Ultra-confort
L'association mousse + insert stabilisateur offre un équilibre parfait entre amorti et maintien.

Adhérence antidérapante
La semelle extérieure en caoutchouc assure une adhérence fiable et une bonne résistance à l'usure.

Détails du produit
- Œillets métalliques pour laçage
- Semelle intérieure amovible
- Empiècements contrastés",1
variable,,SNK-4,New Balance 574,110,1,taxable,,,visible,pa_genre,Homme|Femme,1,1,,pa_taille,39|40|40.5|41|42|42.5|43|44|44.5|45|46|47|36|37|38,1,1,,pa_couleur,Blanc|Crème|Noir,1,1,,pa_marque,New Balance,1,1,,Sport,"Puisant dans l'esthétique vintage, cette chaussure modernise un style indémodable.
La rencontre de la matière et du style
Matières mixtes (suède et mesh) pour un toucher premium et une bonne aération.

Ultra-confort
La semelle intermédiaire en EVA procure un amorti léger et réactif pour un confort longue durée.

Adhérence antidérapante
Semelle en gomme durable avec motif antidérapant pour une traction optimisée.

Détails du produit
- Renforts sur l'avant-pied
- Logo embossé
- Finition surpiquée soignée",1
variable,,SNK-5,Converse One Star,100,1,taxable,,,visible,pa_genre,Homme,1,1,,pa_taille,39|40|40.5|41|42|42.5|43|44|44.5|45|46|47,1,1,,pa_couleur,Blanc|Crème|Noir,1,1,,pa_marque,Converse,1,1,,Streetwear,"Rappelant les grandes heures du running/basket, elle combine authenticité et style.
La rencontre de la matière et du style
La tige associe cuir premium et mesh respirant pour un excellent compromis durabilité/ventilation.

Ultra-confort
Dotée d'une semelle à mémoire de forme, elle garantit un maintien confortable toute la journée.

Adhérence antidérapante
Semelle crantée offrant grip et stabilité sur différentes surfaces.

Détails du produit
- Languette matelassée
- Ricochet de couleur sur la semelle
- Éléments réfléchissants discrets",1
variable,,SNK-6,Nike Cortez,100,1,taxable,,,visible,pa_genre,Femme,1,1,,pa_taille,36|37|38|39|40|40.5|41|42,1,1,,pa_couleur,Blanc|Crème|Noir,1,1,,pa_marque,Nike,1,1,,"Sport, Streetwear, Running","Inspirée d'un héritage sportif classique, cette paire revisite les codes iconiques.
La rencontre de la matière et du style
Confectionnée en daim et mesh technique, elle offre souplesse et maintien.

Ultra-confort
Amorti renforcé par une mousse technique pour une sensation de douceur à chaque pas.

Adhérence antidérapante
Dessus caoutchouté avec motifs adhérents pour une accroche sûre au quotidien.

Détails du produit
- Fermeture à lacets classique
- Logo de la marque sur la languette
- Doublure textile respirante",1
variable,,SNK-7,Nike Dunk High,150,1,taxable,,,visible,pa_genre,Femme|Enfant,1,1,,pa_taille,36|37|38|39|40|40.5|41|42|27|28|29|30|31|32|33|34|35,1,1,,pa_couleur,Blanc|Crème|Noir,1,1,,pa_marque,Nike,1,1,,"Training, Lifestyle, Sport","S'inspirant des silhouettes rétro, cette sneaker mélange tradition et modernité.
La rencontre de la matière et du style
Tige en cuir synthétique et textile respirant, pensée pour un confort quotidien.

Ultra-confort
Conçue pour le confort, la semelle intermédiaire absorbe les chocs tout en restant dynamique.

Adhérence antidérapante
Semelle TPU et caoutchouc pour une excellente durabilité et tenue.

Détails du produit
- Bride de maintien à la cheville
- Swoosh/logotype latéral moulé
- Patch logo au talon",1
variable,,SNK-8,Nike Air Max 90,140,1,taxable,,,visible,pa_genre,Homme,1,1,,pa_taille,39|40|40.5|41|42|42.5|43|44|44.5|45|46|47,1,1,,pa_couleur,Blanc|Crème|Noir,1,1,,pa_marque,Nike,1,1,,"Running, Sport, Lifestyle","Évocatrice des modèles emblématiques, elle propose une interprétation contemporaine.
La rencontre de la matière et du style
Assemblage de cuir véritable et empiècements en mesh pour une respirabilité optimale.

Ultra-confort
L'association mousse + insert stabilisateur offre un équilibre parfait entre amorti et maintien.

Adhérence antidérapante
La semelle extérieure en caoutchouc assure une adhérence fiable et une bonne résistance à l'usure.

Détails du produit
- Œillets métalliques pour laçage
- Semelle intérieure amovible
- Empiècements contrastés",1
variable,,SNK-9,Nike Air Jordan 4,150,1,taxable,,,visible,pa_genre,Homme|Enfant,1,1,,pa_taille,39|40|40.5|41|42|42.5|43|44|44.5|45|46|47|27|28|29|30|31|32|33|34|35|36|37|38,1,1,,pa_couleur,Blanc|Crème|Noir,1,1,,pa_marque,Nike,1,1,,"Running, Training","Puisant dans l'esthétique vintage, cette chaussure modernise un style indémodable.
La rencontre de la matière et du style
Matières mixtes (suède et mesh) pour un toucher premium et une bonne aération.

Ultra-confort
La semelle intermédiaire en EVA procure un amorti léger et réactif pour un confort longue durée.

Adhérence antidérapante
Semelle en gomme durable avec motif antidérapant pour une traction optimisée.

Détails du produit
- Renforts sur l'avant-pied
- Logo embossé
- Finition surpiquée soignée",1
variable,,SNK-10,New Balance 992,220,1,taxable,,,visible,pa_genre,Homme,1,1,,pa_taille,39|40|40.5|41|42|42.5|43|44|44.5|45|46|47,1,1,,pa_couleur,Blanc|Crème|Noir,1,1,,pa_marque,New Balance,1,1,,Running,"Rappelant les grandes heures du running/basket, elle combine authenticité et style.
La rencontre de la matière et du style
La tige associe cuir premium et mesh respirant pour un excellent compromis durabilité/ventilation.

Ultra-confort
Dotée d'une semelle à mémoire de forme, elle garantit un maintien confortable toute la journée.

Adhérence antidérapante
Semelle crantée offrant grip et stabilité sur différentes surfaces.

Détails du produit
- Languette matelassée
- Ricochet de couleur sur la semelle
- Éléments réfléchissants discrets",1
